Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Retinolekvivalenter();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Talg nöt;1;2746;656;7,0;71,0;0,0;0,0;0,0;0,3;21,7;0,0;0,0;0,0;0,0;0;35,8;0,0;0,1;3,2;20,2;10,8;0,5;28,8;2,6;25,3;2,8;;2,4;0,0;;0,3;;0,0;0,0;0,0;;109,0;22;19;36;0,10;0,60;;0,00;0,00;0;0,0;1,3;0,00;0,00;7;1;;0;0,30;0;6;3;11;1,0;0,10;
Späck gris;2;3193;763;2,8;85,0;0,0;0,0;0,0;0,7;11,1;0,0;0,0;0,0;0,0;0;32,8;0,0;0,1;1,1;20,7;10,6;0,2;38,5;2,3;35,2;9,0;;7,8;0,0;;0,7;;0,0;0,0;0,0;;57,0;4;4;0;0,60;0,70;;0,05;0,07;0;0,5;1,0;0,02;0,60;26;1;;0;0,20;4;65;1;11;5,0;0,40;
Ister gris;3;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;48,8;0,0;0,1;1,5;26,7;20,0;0,2;37,5;2,0;34,1;9,4;;7,9;0,0;;0,7;;0,0;0,2;0,3;;95,0;9;9;0;0,00;1,20;;0,00;0,00;0;0,0;0,0;0,00;0,00;3;0;;0;0,10;1;1;1;2;7,0;0,10;
Kokosfett;4;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;92,0;13,0;46,3;18,7;9,6;3,0;0,0;6,0;0,0;7,2;2,0;;1,8;0,0;;0,0;;0,0;0,0;0,0;0,5;0,0;0;;;0,00;0,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Matfettsblandning havssaltat fett 80% berikad typ Bregott;5;2977;712;0,5;80,0;0,5;0,0;5,0;1,5;17,5;0,0;0,0;0,4;0,0;0;39,2;6,4;2,0;6,0;17,3;6,5;0,3;26,5;0,9;24,5;8,5;;6,1;0,0;;2,4;;0,0;0,0;0,0;;180,0;919;900;230;7,50;6,81;;0,01;0,02;0;0,1;0,2;0,01;0,10;26;3;;0;0,20;18;20;3;2000;0,0;0,10;
Matfettsblandning fett 60% berikad typ Bregott mellan;6;2271;543;1,0;60,0;2,0;0,0;1,0;0,9;36,1;0,0;0,0;1,6;0,0;0;29,7;4,9;1,5;4,5;13,1;5,0;0,2;20,0;0,7;18,5;6,4;;4,6;0,0;;1,8;;0,0;0,0;0,0;1,0;124,8;912;900;140;7,50;5,73;;0,01;0,02;0;0,1;0,3;0,01;0,10;26;3;;0;0,20;18;20;3;395;0,0;0,10;
Bordsmargarin fett 60% berikad typ Milda;7;2229;533;0,2;60,0;0,3;0,0;0,9;0,9;38,3;0,0;0,0;0,3;0,0;0;20,0;0,3;3,2;1,1;11,4;1,8;0,0;25,0;0,0;24,9;15,0;;12,4;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;360;0,0;0,00;
Bordsmargarin extrasaltat fett 60% berikad typ Milda;8;2229;533;0,2;60,0;0,3;0,0;1,2;1,2;38,3;0,0;0,0;0,3;0,0;0;20,0;0,3;3,2;1,1;11,4;1,8;0,0;25,0;0,0;24,9;15,0;;12,4;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;480;0,0;0,00;
Bordsmargarin mjölkfri fett 60% berikad typ Milda;9;2220;531;0,0;60,0;0,0;0,0;0,9;0,9;39,1;0,0;0,0;0,0;0,0;0;20,0;0,3;3,2;1,1;11,4;1,8;0,0;25,0;0,0;24,9;15,0;;12,4;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;11,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;360;0,0;0,00;
Flytande margarin fett 74% berikad typ Milda culinesse;10;2747;656;0,0;74,0;0,5;0,0;1,3;1,3;24,2;0,0;0,0;0,0;0,0;0;8,1;0,0;0,1;0,1;3,4;1,8;0,0;44,1;0,0;43,6;21,6;;14,3;0,0;;6,3;;0,0;0,0;0,0;0,5;0,0;720;;;9,00;16,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;530;0,0;0,00;
Hushållsmargarin fett 80% berikad typ Melba;12;2969;710;0,1;80,0;0,4;0,0;1,5;1,5;18,0;0,0;0,0;0,4;0,0;0;36,0;0,3;2,0;1,1;23,4;2,6;0,0;34,0;0,0;33,8;10,0;;10,3;0,0;;4,3;;0,0;0,0;0,0;0,5;0,0;900;;;7,50;5,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;600;0,0;0,00;
Hushållsmargarin fett 80% berikad typ Milda;13;2977;712;0,5;80,0;0,5;0,0;1,5;1,5;17,5;0,0;0,0;0,3;0,0;0;32,0;0,3;2,0;1,1;23,4;2,6;0,0;30,0;0,0;33,8;18,0;;10,3;0,0;;4,3;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;12,00;;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;0;0,00;0;0;0;600;0,0;0,00;
Lättmargarin fett 38% berikad typ Becel;17;1457;348;0,0;38,0;3,0;0,0;1,3;1,3;57,8;0,0;0,0;0,0;0,0;0;8,0;0,2;0,9;0,3;4,9;1,2;0,0;11,0;0,0;11,9;19,0;;14,2;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;13,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;500;0,0;0,00;
Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv;18;1339;320;0,1;35,0;2,5;0,0;0,5;0,5;54,4;0,0;0,0;0,0;0,0;0;9,0;0,2;1,3;0,5;6,2;1,3;0,0;9,0;0,0;8,1;17,0;;14,1;0,0;;2,6;;0,0;0,0;0,0;0,2;0,0;800;;;10,00;10,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;200;0,0;0,00;
Lättmargarin fett 40% berikad typ Lätt & lagom;20;1625;388;0,5;40,0;8,0;0,0;1,8;2,0;49,5;0,0;0,0;1,0;0,0;0;19,4;2,0;1,3;2,6;10,0;2,8;0,1;14,3;0,4;13,7;4,3;;3,1;0,0;;1,2;;0,0;0,0;0,0;;40,0;900;900;0;7,50;2,50;;0,02;0,09;0;0,1;0,2;0,01;0,10;75;1;;0;0,10;60;20;1;700;0,0;0,00;
Majonnäs fett 90% ;21;3346;800;1,2;89,6;0,6;0,0;0,3;0,5;7,8;0,0;0,1;0,2;0,2;0;6,5;0,0;0,0;0,0;4,1;1,5;0,5;52,2;0,3;49,9;26,8;0,3;17,2;0,0;0,0;9,4;;0,0;0,0;0,0;0,0;67,5;48;48;0;0,26;21,30;6;0,02;0,04;0;0,0;0,3;0,02;0,26;40;16;20;0;0,26;12;14;4;134;4,1;0,25;
Sesamsås;22;656;157;2,3;13,4;4,2;0,6;0,6;1,2;76,0;1,5;0,9;2,9;0,6;0;5,9;0,8;0,3;0,8;2,6;1,1;0,0;4,8;0,1;4,5;1,8;0,0;1,4;0,0;0,0;0,5;;0,0;0,0;0,0;0,3;23,5;91;68;39;0,30;1,25;1;0,05;0,07;1;0,2;0,7;0,06;0,18;70;8;34;2;0,50;89;142;17;250;1,0;0,44;
Gravlaxsås krabbsås;23;1959;468;2,1;45,6;13,5;0,9;1,0;1,6;36,3;0,0;1,1;9,4;9,4;0;3,1;0,0;0,0;0,0;1,9;0,7;0,3;26,7;0,1;24,9;13,7;;8,7;0,0;;4,9;;0,0;0,0;0,0;0,0;0,0;64;0;768;0,00;10,81;;0,06;0,12;9;0,4;0,8;0,05;0,00;59;6;24;2;1,03;84;175;38;385;1,5;0,49;
Gravlaxsås;24;2322;555;1,6;56,0;13,1;0,0;0,7;1,3;28,0;0,0;0,8;9,5;9,5;0;8,2;0,0;0,0;0,0;5,8;1,9;0,2;13,4;0,0;13,2;32,0;;28,0;0,0;;4,0;;0,0;0,0;0,0;;0,0;35;0;420;0,00;8,00;;0,01;0,02;10;0,1;0,4;0,02;0,00;44;0;;0;1,90;58;79;32;275;0,0;0,10;
Remouladsås;25;2688;642;1,0;71,1;2,1;0,2;1,0;1,1;24,4;0,0;0,2;1,9;1,9;0;6,7;0,0;0,0;0,0;5,0;1,4;0,2;13,7;0,1;13,3;44,7;;39,7;0,0;;5,0;;0,0;0,0;0,0;0,0;106,7;148;133;181;0,00;4,45;;0,01;0,05;4;0,2;0,4;0,10;0,89;35;19;0;0;0,31;22;42;8;385;0,9;0,24;
Dressing vinägrett m vatten fett 45%;26;1755;420;0,6;45,4;3,8;0,1;3,6;3,7;46,4;0,0;0,5;0,8;0,8;0;3,1;0,0;0,0;0,0;1,9;0,7;0,3;26,6;0,1;25,3;13,7;;8,8;0,0;;4,9;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;10,46;;0,01;0,02;0;0,0;0,1;0,00;0,00;26;0;175;0;0,33;18;42;17;1450;0,5;0,09;
Lättmargarin fett 40% berikad typ Lätt & lagom oliv;27;1625;388;0,5;40,0;8,0;0,0;1,9;2,2;49,3;0,0;0,0;1,0;0,0;0;17,3;1,0;1,8;1,3;11,0;1,9;0,2;17,0;0,2;16,6;3,9;;3,3;0,0;;0,6;;0,0;0,0;0,0;;10,0;900;900;0;7,50;2,50;;0,02;0,09;0;0,1;0,2;0,01;0,10;75;1;;0;0,10;60;20;1;750;0,0;0,00;
Lättmargarin fett 40% berikad typ Lätt & lagom omega 3;28;1548;370;0,5;40,0;0,5;0,0;1,5;1,6;54,4;0,0;0,0;0,5;0,0;0;13,7;1,5;0,6;2,0;6,3;2,5;0,2;18,1;0,5;16,2;6,6;;4,0;0,0;;1,8;;0,0;0,0;0,0;0,4;70,0;900;900;0;7,50;5,00;;0,01;0,04;0;0,0;0,8;0,00;0,00;38;0;;0;0,00;30;10;0;600;0,0;0,00;
Smör fett 80%;29;3044;728;0,6;81,8;0,5;0,0;1,2;1,2;15,9;0,0;0,0;0,4;0,0;;52,4;6,1;2,6;8,5;25,3;8,5;0,2;22,7;1,6;19,8;2,9;;2,0;0,1;;0,4;;0,1;0,1;0,0;2,6;256,0;697;667;369;0,56;1,84;;0,01;0,02;0;0,1;0,2;0,00;0,00;26;3;4;0;0,20;18;15;3;470;0,5;0,10;
Smör extrasaltat fett 80% ;30;3044;728;0,6;81,8;0,5;0,0;2,0;1,2;15,9;0,0;0,0;0,4;0,0;;52,4;6,1;2,6;8,5;25,3;8,5;0,2;22,7;1,6;19,8;2,9;;2,0;0,1;;0,4;;0,1;0,1;0,0;3,0;256,0;697;667;369;0,56;1,84;;0,01;0,02;0;0,1;0,2;0,00;0,00;26;3;;0;0,20;18;20;3;790;0,5;0,10;
Smör osaltat fett 80%;31;3044;728;0,6;81,8;0,5;0,0;0,0;1,2;15,9;0,0;0,0;0,4;0,0;;52,4;6,1;2,6;8,5;25,3;8,5;0,2;22,7;1,6;19,8;2,9;;2,0;0,1;;0,4;0,2;0,1;0,1;0,0;2,6;256,0;697;667;369;0,56;1,84;;0,01;0,02;0;0,1;0,2;0,00;0,00;24;3;;0;0,20;15;0;2;8;0,5;0,00;
Druvkärnolja;33;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;11,2;0,0;0,0;0,0;6,8;3,6;0,4;18,2;0,1;17,8;66,7;;65,9;0,0;;0,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;29,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Majsolja;34;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;12,2;0,0;0,0;0,0;9,9;1,9;0,4;26,1;0,1;25,7;57,0;;55,7;0,0;;1,2;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;13,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;1,30;15;1;0;1;0,0;0,00;
Olivolja;35;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,4;0,0;0,0;0,0;11,0;2,7;0,5;72,1;0,9;70,6;9,1;;8,4;0,0;;0,7;;0,0;0,0;0,0;0,0;0,0;2;0;25;0,00;11,90;;0,00;0,00;0;0,0;0,0;0,00;0,00;1;0;;0;0,40;0;0;0;1;0,0;0,10;
Tistelolja;37;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;9,0;0,0;0,0;0,0;6,2;2,2;0,3;10,9;0,0;10,6;75,7;;75,5;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;34,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Sesamolja;38;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,8;0,0;0,0;0,0;8,6;5,5;0,6;39,1;0,0;38,9;41,7;;41,3;0,0;;0,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;1,40;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Sojaolja;39;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,9;0,0;0,0;0,0;10,1;4,1;0,3;22,3;0,0;22,0;58,4;;51,1;0,0;;7,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;12,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Solrosolja;40;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;11,1;0,0;0,0;0,1;6,2;3,8;0,4;20,9;0,3;20,6;63,6;;63,1;0,0;;0,5;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;59,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Vetegroddsolja;41;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;16,6;0,0;0,0;0,0;15,1;1,3;0,2;19,3;0,0;18,0;59,7;;54,2;0,0;;5,5;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;149,00;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;3,80;
Dressing fett ca 25% ;42;1098;263;0,5;25,0;9,7;0,0;1,8;1,8;63,0;0,0;2,1;1,5;1,5;0;3,7;0,0;0,0;0,0;2,7;0,9;0,1;5,8;0,0;5,7;14,4;;12,5;0,0;;1,8;;0,0;0,0;0,0;;26,0;6;6;0;0,00;2,80;;0,01;0,03;0;0,1;0,2;0,02;0,00;14;0;;0;0,20;9;9;2;710;0,5;0,10;
Dressing majonnäs fett ca 60% ;43;2395;572;1,0;59,9;9,5;0,0;0,9;1,4;28,2;0,0;2,1;10,4;10,4;0;9,2;0,0;0,0;0,0;6,2;2,2;0,2;13,8;0,0;13,6;34,3;;30,0;0,0;;4,4;;0,0;0,0;0,0;;90,0;113;113;0;0,00;3,70;;0,01;0,03;0;0,1;0,3;0,08;0,80;35;10;;0;0,20;11;10;7;350;1,0;0,20;
Dressing majonnäs fett ca 40% ;44;1898;454;0,5;40,0;24,0;0,2;1,7;2,1;33,2;0,0;3,1;18,6;18,6;0;6,1;0,0;0,0;0,0;4,2;1,5;0,2;9,8;0,0;9,8;22,3;;19,7;0,0;;2,6;;0,0;0,0;0,0;;26,0;2;2;0;0,00;2,50;;0,01;0,02;0;0,0;0,1;0,02;0,20;17;7;;0;0,30;11;142;5;680;0,5;0,10;
Dressing majonnäs fett ca 25%;45;1268;303;0,5;25,0;19,7;0,0;1,7;1,4;53,4;0,0;1,6;16,6;16,6;0;3,8;0,0;0,0;0,0;2,6;0,9;0,1;5,3;0,0;5,2;14,6;;12,7;0,0;;1,9;;0,0;0,0;0,0;;26,0;7;7;0;0,00;1,40;;0,01;0,02;0;0,0;0,1;0,02;0,00;2;5;;0;0,10;14;22;4;690;0,5;0,10;
Dressing olja fett ca 45% ;46;1739;416;0,5;43,1;8,0;0,0;0,5;2,5;45,9;0,0;2,1;1,5;1,5;0;6,3;0,0;0,0;0,0;4,3;1,7;0,2;9,6;0,0;9,6;25,2;;22,0;0,0;;3,2;;0,0;0,0;0,0;;0,0;3;3;0;0,00;2,00;;0,01;0,02;0;0,0;0,1;0,01;0,00;5;1;;0;0,20;10;15;1;216;0,5;0,10;
Dressing olja fett ca 25% ;47;1272;304;1,9;26,6;15,0;0,0;2,5;2,2;54,3;0,0;4,1;8,4;8,0;0;2,1;0,0;0,0;0,0;1,5;0,4;0,1;15,3;0,1;14,3;8,0;;5,5;0,0;;2,4;;0,0;0,0;0,0;;0,0;6;6;0;0,00;4,90;;0,01;0,02;0;0,0;0,3;0,00;0,00;15;1;;0;0,40;12;85;5;1015;0,5;0,10;
Dressing majonnäs lätt fett ca 15% ;48;907;217;1,0;14,5;20,8;0,0;1,5;1,4;62,3;0,0;3,3;15,0;15,0;0;2,2;0,0;0,0;0,0;1,4;0,6;0,1;3,5;0,0;3,3;8,3;;7,3;0,0;;1,0;;0,0;0,0;0,0;;0,0;6;6;0;0,00;1,90;;0,01;0,02;4;0,3;0,6;0,00;0,00;9;1;;0;0,30;6;85;5;611;0,1;0,10;
Dressing fett 0%;49;250;60;1,6;0,0;13,1;0,0;0,4;5,3;80,0;0,0;1,2;9,2;9,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;1;0;0,00;0,20;;0,00;0,00;0;0,0;0,3;0,00;0,00;5;0;;0;0,50;13;21;3;150;0,0;0,00;
Majonnäs fett 80% ;50;3003;718;1,0;80,0;1,5;0,0;0,9;1,1;16,4;0,0;0,0;2,0;2,0;0;7,6;0,0;0,0;0,0;5,7;1,6;0,2;15,4;0,2;15,0;50,3;;44,7;0,0;;5,7;;0,0;0,0;0,0;;120,0;150;150;0;0,00;4,90;;0,01;0,04;0;0,1;0,4;0,10;1,00;35;14;;0;0,20;11;10;7;350;1,0;0,20;
Gurkmajonnäs el gurksallad gatukök;51;1392;333;0,8;32,0;10,9;1,1;0,5;1,2;54,0;0,0;5,6;4,6;4,6;0;3,8;0,0;0,0;0,0;2,5;0,9;0,2;13,2;0,1;12,8;13,5;;11,1;0,0;;2,4;;0,0;0,0;0,0;;48,0;79;60;230;0,00;2,08;;0,00;0,01;0;0,3;0,5;0,01;0,20;50;13;;0;0,60;24;24;10;187;0,4;0,20;
Räkmajonnäs el räksallad gatukök;52;1914;457;5,2;48,0;2,9;0,0;1,0;1,4;42,5;0,0;0,0;1,2;1,2;0;5,7;0,0;0,0;0,0;3,8;1,4;0,2;19,6;0,1;18,9;20,4;;16,8;0,0;;3,6;;0,0;0,0;0,0;;101,0;93;93;0;0,12;3,23;;0,01;0,03;0;0,4;1,7;0,07;1,00;71;10;;0;0,70;31;30;14;397;4,5;0,30;
Lättmajonnäs 32,5% fett;53;1367;327;1,2;32,5;8,5;0,0;1,3;1,6;56,2;0,0;0,1;1,8;1,8;0;3,1;0,0;0,0;0,0;1,2;0,7;0,1;6,2;0,1;6,1;20,4;;18,1;0,0;;2,3;;0,0;0,0;0,0;;40,0;60;60;0;0,00;2,50;;0,00;0,02;0;0,0;0,3;0,04;0,40;26;7;;0;0,10;14;9;2;500;1,0;0,10;
Grönsaksmajonnäs;54;901;215;1,7;20,9;4,8;1,9;0,7;0,9;69,8;0,0;1,3;2,4;2,2;0;2,3;0,1;0,0;0,1;1,6;0,5;0,1;4,0;0,0;3,9;12,8;0,0;11,4;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;32,0;295;43;2423;0,00;1,38;;0,05;0,05;3;0,4;0,7;0,08;0,26;39;18;1;0;0,53;23;104;10;263;0,6;0,36;
Mimosasallad;55;650;155;2,4;12,0;8,9;1,8;0,1;0,6;74,2;0,0;3,3;4,5;4,2;0;3,8;0,5;0,1;0,5;1,9;0,7;0,0;2,6;0,1;2,5;4,4;0,1;3,9;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,1;50,3;76;68;92;0,15;1,24;3;0,09;0,10;12;0,5;1,0;0,10;0,23;55;23;4;17;0,54;31;199;13;45;2,3;0,40;
Rödbetssallad mager;56;300;72;1,3;2,1;10,9;1,8;0,5;0,7;82,9;0,0;2,2;8,0;7,4;0;1,4;0,2;0,1;0,2;0,6;0,2;0,0;0,5;0,0;0,4;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;6,0;19;17;19;0,01;0,16;;0,03;0,05;4;0,2;0,4;0,05;0,04;30;30;9;2;0,42;29;147;11;210;0,3;0,24;
Skaldjurssallad m majonnäsdressing;57;448;107;8,5;6,7;2,8;1,0;0,9;1,6;79,4;0,0;0,9;0,9;0,6;0;1,2;0,1;0,0;0,1;0,7;0,2;0,0;1,3;0,0;1,2;3,4;0,0;2,9;0,0;0,0;0,4;0,0;0,1;0,0;0,0;0,0;69,6;45;27;213;0,13;1,30;0;0,06;0,10;8;1,3;2,8;0,11;1,84;118;39;5;10;1,50;51;183;24;343;12,0;1,17;
Bearnaisesås;58;1665;398;2,4;43,1;1,8;0,1;0,7;1,1;50,8;0,0;0,3;0,1;0,1;0;5,4;0,0;0,1;0,1;2,6;1,2;0,0;24,9;0,1;24,5;12,0;0,6;8,0;0,1;0,1;3,4;;0,0;0,0;0,0;0,3;145,9;486;103;59;5,29;10,90;12;0,03;0,07;1;0,0;0,6;0,02;0,37;84;27;11;0;0,59;28;46;6;292;8,6;0,54;
Hollandaisesås;59;1994;477;2,8;52,3;0,8;0,0;1,3;1,7;41,7;0,0;0,1;0,1;0,0;0;6,5;0,0;0,1;0,1;3,2;1,5;0,0;30,2;0,1;29,7;14,5;0,7;9,7;0,1;0,1;4,1;;0,0;0,0;0,1;0,3;177,1;584;125;1;6,42;13,18;14;0,04;0,10;1;0,0;0,7;0,04;0,62;94;31;35;0;0,58;27;25;3;518;10,5;0,61;
Rhode Island sås;60;1555;372;1,8;38,5;5,6;0,2;1,1;1,6;52,1;0,0;1,3;3,9;2,4;0;9,4;1,1;0,3;1,1;5,0;1,8;0,1;7,8;0,1;7,5;17,9;0,0;16,0;0,0;0,0;2,1;;0,0;0,0;0,0;0,3;71,5;171;138;396;0,07;2,27;1;0,04;0,07;2;0,3;0,7;0,07;0,46;51;12;19;0;0,36;48;141;11;452;1,1;0,27;
Dressing vinägrett fett  65% ;62;2453;586;0,6;65,0;2,2;0,0;2,0;2,2;30,0;0,0;0,2;0,8;0,8;0;9,5;0,0;0,0;0,0;6,8;2,2;0,3;15,5;0,0;15,4;37,1;;32,4;0,0;;4,7;;0,0;0,0;0,0;;0,0;0;0;0;0,00;6,20;;0,00;0,00;0;0,0;0,1;0,00;0,00;24;0;;0;0,30;22;22;18;780;0,0;0,10;
Bearnaisesås fryst el pulver tillagad;63;935;224;2,6;21,0;6,7;0,0;1,3;1,7;68,0;0,0;0,1;3,0;0,0;0;7,5;0,3;1,0;0,7;3,0;2,3;0,2;9,4;0,3;8,6;3,2;;2,6;0,0;;0,6;;0,0;0,0;0,0;;74,0;90;90;0;0,20;2,10;;0,02;0,09;0;0,0;0,5;0,08;0,00;80;5;;0;0,30;62;96;2;520;3,0;0,00;
Hollandaisesås fryst el pulver tillagad;64;970;232;2,6;22,0;6,6;0,0;1,4;1,8;67,0;0,0;0,1;3,0;0,0;0;7,8;0,3;1,0;0,7;3,1;2,4;0,2;9,8;0,3;9,0;3,4;;2,7;0,0;;0,7;;0,0;0,0;0,0;;74,0;130;130;0;0,20;2,20;;0,02;0,07;0;0,0;0,5;0,07;0,00;65;5;;0;0,30;57;96;2;570;3,0;0,00;
Mesost fett 17% berik typ Fjällbrynt;65;1615;386;8,5;17,0;49,5;0,0;1,5;5,0;20,0;0,0;0,0;50,0;2,0;0;11,2;1,8;0,5;1,8;4,9;2,0;0,0;4,0;0,2;3,7;0,3;0,0;0,3;0,0;0,0;0,1;;0,0;0,0;0,0;0,5;54,4;148;142;78;0,12;0,39;3;0,10;1,40;0;0,6;2,6;0,16;0,40;380;12;;0;5,00;280;1400;32;590;2,5;0,20;
Mesost fett ca 30% berik;66;1923;460;11,0;29,0;39,0;0,0;0,7;2,0;19,0;0,0;0,0;39,0;0,0;0;19,4;3,0;0,9;3,0;8,5;3,4;0,1;6,9;0,3;6,4;0,5;0,0;0,5;0,0;0,0;0,2;;0,0;0,0;0,0;0,9;96,0;311;298;158;0,10;0,60;;0,19;1,20;0;0,9;3,5;0,11;1,10;450;21;;0;0,30;350;1090;56;290;5,0;0,60;
Mesost lätt fett 9% berik;67;1438;344;9,0;9,0;56,0;0,0;1,4;6,0;20,0;0,0;0,0;57,0;5,0;0;5,9;0,9;0,3;0,9;2,6;1,0;0,0;2,1;0,1;1,9;0,1;0,0;0,1;0,0;0,0;0,1;;0,0;0,0;0,0;0,3;29,0;82;75;41;0,06;0,20;3;0,10;1,40;0;0,6;2,7;0,16;0,40;430;5;;0;5,00;300;1500;34;540;2,5;0,20;
Messmör fett 5% berik;68;1086;260;7,0;5,0;46,0;0,0;1,1;5,0;37,0;0,0;0,0;48,0;6,0;0;3,3;0,5;0,2;0,5;1,5;0,6;0,0;1,2;0,1;1,1;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,2;17,6;44;42;23;0,04;0,12;3;0,10;1,20;0;0,5;2,1;0,21;0,40;320;12;;0;5,00;280;1240;28;445;2,2;0,20;
Messmör fett 2% berik;69;1026;245;7,0;2,0;49,0;0,0;1,4;5,0;37,0;0,0;0,0;49,0;4,5;0;1,3;0,2;0,1;0,2;0,6;0,2;0,0;0,5;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;6,4;18;17;9;0,01;0,05;3;0,10;1,30;0;0,5;2,1;0,21;0,40;370;12;;0;5,00;280;1400;30;570;2,2;0,20;
